"id","account","password","name","sex","birth_place_code","area_code","area_detail","phone","emergency_contact_name","emergency_contact_phone","emergency_contact_relationship","is_marry","is_live_alone","is_disability","diseases_history","major_diseases_history","status","birthday","care_level","create_time"
"1038","test10","123456","盛顺","0","110000","110105","华威北里9栋603室","15332223574","盛屹仕","18954304138","弟弟","1","0","0","[""肩关节前脱位"", ""失血性休克"", ""冠心病""]","[""肩关节前脱位"", ""失血性休克"", ""冠心病""]","1","9/3/1942","2","13/4/2022 21:25:58"
"1039","test11","123456","赵崇境","0","110000","110105","世华泊郡9栋801室","15288091341","赵嬿瑛","18853560912","姐姐","1","1","0","[]","[]","1","28/6/1941","4","13/4/2022 21:25:58"
"1040","test12","123456","田情惜","1","110000","110105","柏林爱乐二期11栋1502室","18626678167","田柔情","13398941020","女儿","1","0","0","[""脑疝"", ""张力性气胸"", ""支气管扩张"", ""肾结石"", ""蛛网膜下腔出血""]","[""脑疝"", ""张力性气胸"", ""支气管扩张"", ""肾结石"", ""蛛网膜下腔出血""]","1","2/1/1955","3","13/4/2022 21:25:58"
"1041","test13","123456","左依艳","1","450000","110105","松榆西里6栋1002室","13207947539","左婉娴","18384368740","孙女","1","0","0","[""急疹""]","[""急疹""]","1","27/1/1962","2","13/4/2022 21:25:58"
"1042","test14","123456","明璎缘","1","130000","110105","炫特家园二期8栋102室","18255858160","明宛靓","13860286244","孙女","1","0","0","[""桡骨远端骨折""]","[""桡骨远端骨折""]","1","11/5/1960","1","13/4/2022 21:25:58"
"1043","test15","123456","姜宗城","0","110000","110105","世华泊郡12栋701室","17845871259","姜宥寿","15788701620","儿子","1","0","0","[""佝偻病"", ""白血病""]","[""佝偻病"", ""白血病""]","1","19/4/1941","2","13/4/2022 21:25:58"
"1044","test16","123456","沈惜伊","1","640000","110105","珠江帝景6栋701室","17755245855","沈怡姗","15671403127","姐姐","1","1","0","[""支气管肺炎"", ""张力性气胸"", ""肺脓肿""]","[""支气管肺炎"", ""张力性气胸"", ""肺脓肿""]","1","23/7/1962","4","13/4/2022 21:25:58"
"1045","test17","123456","支锴境","0","110000","110105","苹果社区南区12栋202室","15857914914","支怡怡","13906026208","女儿","1","1","0","[""呼吸衰竭"", ""血胸"", ""肾衰""]","[""呼吸衰竭"", ""血胸"", ""肾衰""]","1","22/3/1962","4","13/4/2022 21:25:58"
"1046","test18","123456","施靓珊","1","110000","110105","一线国际7栋1501室","18448252654","施伊嵋","18924250095","外甥女表姐","1","0","0","[""佝偻病""]","[""佝偻病""]","1","15/2/1954","2","13/4/2022 21:25:58"
"1047","test19","123456","茅馨婵","1","110000","110105","芍药居北里3栋302室","13247465885","茅姗嫣","13955251413","妹妹","1","0","0","[""卵巢肿瘤蒂扭转"", ""化脑""]","[""卵巢肿瘤蒂扭转"", ""化脑""]","1","10/4/1948","2","13/4/2022 21:25:58"
